id,name,state_id,state_code,country_id,country_code,latitude,longitude
1,Andorra la Vella,488,7,6,AD,42.50779,1.52109
2,Arinsal,493,4,6,AD,42.57205,1.48453
3,Canillo,489,2,6,AD,42.5676,1.59756
4,El Tarter,489,2,6,AD,42.57952,1.65362
5,Encamp,487,3,6,AD,42.53474,1.58014
6,Ordino,491,5,6,AD,42.55623,1.53319
7,Pas de la Casa,487,3,6,AD,42.54277,1.73361
8,Sant Julià de Lòria,490,6,6,AD,42.46372,1.49129
9,la Massana,493,4,6,AD,42.54499,1.51483
10,les Escaldes,492,8,6,AD,42.50729,1.53414
11,Abu Dhabi Island and Internal Islands City,3396,AZ,231,AE,24.4511,54.3969
12,Abu Dhabi Municipality,3396,AZ,231,AE,24.41361,54.43295
13,Adh Dhayd,3390,SH,231,AE,25.28812,55.88157
14,Ajman,3395,AJ,231,AE,25.40328,55.52341
15,Ajman City,3395,AJ,231,AE,25.40177,55.47878
16,Al Ain City,3396,AZ,231,AE,24.19167,55.76056
17,Al Ain Municipality,3396,AZ,231,AE,24.15223,55.8204
18,Al Batayih,3390,SH,231,AE,25.22317,55.74272
19,Al Dhafra,3396,AZ,231,AE,23.65745,53.72225
20,Al Fujairah City,3393,FU,231,AE,25.11641,56.34141
21,Al Fujairah Municipality,3393,FU,231,AE,25.13557,56.33279
22,Al Hamriyah,3390,SH,231,AE,25.46121,55.54813
23,Al Madam,3390,SH,231,AE,24.95536,55.7682
24,Al Shamkhah City,3396,AZ,231,AE,24.39268,54.70779
25,Ar Ruways,3396,AZ,231,AE,24.11028,52.73056
26,Bani Yas City,3396,AZ,231,AE,24.30978,54.62944
27,Dhaid,3390,SH,231,AE,25.26951,55.92024
28,Dibba Al Fujairah Municipality,3393,FU,231,AE,25.5858,56.24792
29,Dibba Al Hesn,3390,SH,231,AE,25.61593,56.26899
30,Dibba Al-Fujairah,3393,FU,231,AE,25.59246,56.26176
31,Dibba Al-Hisn,3393,FU,231,AE,25.61955,56.27291
32,Dubai,3391,DU,231,AE,25.0657,55.17128
33,Kalba,3390,SH,231,AE,24.99816,56.27207
34,Khalifah A City,3396,AZ,231,AE,24.42588,54.605
35,Khawr Fakkān,3390,SH,231,AE,25.33132,56.34199
36,Khor Fakkan,3390,SH,231,AE,25.33966,56.3028
37,Manama,3395,AJ,231,AE,25.32568,56.00259
38,Masfout,3395,AJ,231,AE,24.83982,56.05158
39,Milehah,3390,SH,231,AE,25.10097,55.91282
40,Murbaḩ,3390,SH,231,AE,25.27623,56.36256
41,Musaffah,3396,AZ,231,AE,24.35893,54.48267
42,Muzayri‘,3396,AZ,231,AE,23.14355,53.7881
43,Ras Al Khaimah,3394,RK,231,AE,25.46116,56.04058
44,Ras Al Khaimah City,3394,RK,231,AE,25.78953,55.9432
45,Reef Al Fujairah City,3393,FU,231,AE,25.14479,56.24764
46,Sharjah,3390,SH,231,AE,25.33737,55.41206
47,Umm AL Quwain,3392,UQ,231,AE,25.49326,55.7352
48,Umm Al Quwain City,3392,UQ,231,AE,25.56473,55.55517
49,Zayed City,3396,AZ,231,AE,23.65416,53.70522
50,Andkhōy,3889,FYB,1,AF,36.95293,65.12376
51,Asadābād,3876,KNR,1,AF,34.87311,71.14697
52,Ashkāsham,3901,BDS,1,AF,36.68333,71.53333
53,Aībak,3883,SAM,1,AF,36.26468,68.01551
54,Baghlān,3875,BGL,1,AF,36.13068,68.70829
55,Balkh,3884,BAL,1,AF,36.75635,66.8972
56,Baraki Barak,3897,LOG,1,AF,33.96744,68.9492
57,Bāmyān,3872,BAM,1,AF,34.82156,67.82734
58,Bāsawul,3882,NAN,1,AF,34.24749,70.87218
59,Bāzārak,3881,PAN,1,AF,35.31292,69.51519
60,Chahār Burj,3887,HER,1,AF,34.24475,62.19165
61,Charikar,3895,PAR,1,AF,35.01361,69.17139
62,Chīras,3885,SAR,1,AF,35.41674,65.98234
63,Darzāb,3886,JOW,1,AF,35.97744,65.37828
64,Dasht-e Archī,3900,KDZ,1,AF,37.13333,69.16667
65,Dowlatābād,3884,BAL,1,AF,36.98821,66.82069
66,Farah,3899,FRA,1,AF,32.37451,62.11638
67,Fayrōz Kōh,3888,GHO,1,AF,34.51952,65.25093
68,Fayzabad,3901,BDS,1,AF,37.11664,70.58002
69,Gardez,3894,PIA,1,AF,33.59744,69.22592
70,Gereshk,3873,HEL,1,AF,31.82089,64.57005
71,Ghazni,3870,GHA,1,AF,33.55391,68.42096
72,Ghormach,3871,BDG,1,AF,35.73062,63.78264
73,Ghōriyān,3887,HER,1,AF,34.3448,61.49321
74,Herāt,3887,HER,1,AF,34.34817,62.19967
75,Imām Şāḩib,3900,KDZ,1,AF,37.18897,68.93644
76,Jabal os Saraj,3895,PAR,1,AF,35.11833,69.23778
77,Jalālābād,3882,NAN,1,AF,34.42647,70.45153
78,Jurm,3901,BDS,1,AF,36.86477,70.83421
79,Kabul,3902,KAB,1,AF,34.52813,69.17233
80,Kafir Qala,3887,HER,1,AF,34.66667,61.06667
81,Kandahār,3890,KAN,1,AF,31.61332,65.71013
82,Karukh,3887,HER,1,AF,34.48108,62.5863
83,Khanabad,3900,KDZ,1,AF,36.6825,69.11556
84,Khandūd,3901,BDS,1,AF,36.95127,72.318
85,Khulm,3884,BAL,1,AF,36.69736,67.69826
