id,name,address,admission_fee,duration,latitude,longitude
79,アメリカ自然史博物館,"Central Park West & 79th St, New York, NY 10024 アメリカ合衆国",2600,0,40.7813241,-73.9739882
78,エリス島,アメリカ合衆国 エリス島,0,0,40.6994748,-74.0395587
77,ロックフェラー・センター,"45 Rockefeller Plaza, New York, NY 10111 アメリカ合衆国",4600,0,40.7587402,-73.9786736
75,ブロードウェイ,"Broadway, New York, NY, アメリカ合衆国",5000,0,40.8124199,-73.9605343
73,グランド・セントラル・ターミナル,"89 E 42nd St, New York, NY 10017 アメリカ合衆国",0,0,40.7527262,-73.9772294
72,セントラル・パーク,アメリカ合衆国 ニューヨーク州 ニューヨーク,0,0,40.7828647,-73.9653551
70,自由の女神像,アメリカ合衆国 〒10004 ニューヨーク州 ニューヨーク,2100,0,40.6892494,-74.0445004
69,ブルックリン橋,"Brooklyn Bridge, New York, NY 10038 アメリカ合衆国",0,0,40.7060855,-73.9968643
68,メトロポリタン美術館,"1000 5th Ave, New York, NY 10028 アメリカ合衆国",2800,0,40.7794366,-73.963244
67,東京スカイツリー,〒131-0045 東京都墨田区押上１丁目１−２,4000,150,35.7100627,139.8107004
64,後楽園ホール,〒112-0004 東京都文京区後楽１丁目３−６１,0,30,35.704259,139.7520446
63,ルーブル美術館,"Place Charles de Gaulle, 75008 Paris, フランス",2500,570,48.8737917,2.2950275
62,エッフェル塔,"フランス 〒75007 Paris, Avenue Anatole France, シャン・ド・マルス公園",0,570,48.8583701,2.2944813
61,ノートルダム大聖堂,"6 Parvis Notre-Dame - Pl. Jean-Paul II, 75004 Paris, フランス",0,0,48.8529682,2.3499021
60,オルセー美術館,"1 Rue de la Légion d'Honneur, 75007 Paris, フランス",2000,630,48.8599614,2.3265614
59,エトワール凱旋門,"Place Charles de Gaulle, 75008 Paris, フランス",0,630,48.8737917,2.2950275
58,金閣寺,〒603-8361 京都府京都市北区金閣寺町１,400,0,35.03937,135.7292431
57,貴布禰總本宮 貴船神社,〒601-1112 京都府京都市左京区鞍馬貴船町１８０,0,0,35.1219509,135.762965
56,東福寺,〒605-0981 京都府京都市東山区本町１５丁目７７８,400,0,34.9767101,135.7749674
55,清水寺,〒605-0862 京都府京都市東山区清水１丁目２９４,400,0,34.9948561,135.7850463
54,伏見稲荷大社,〒612-0882 京都府京都市伏見区深草藪之内町６８,0,0,34.9671402,135.7726717
53,大涌谷,〒250-0631 神奈川県足柄下郡箱根町箱根 仙石原,0,360,35.2431054,139.019884
52,芦ノ湖,〒250-0522 神奈川県足柄下郡箱根町元箱根 芦ノ湖,0,300,35.2095674,139.0034626
51,彫刻の森美術館,〒250-0407 神奈川県足柄下郡箱根町二ノ平１１２１,1600,570,35.2453754,139.0510653
50,お台場,東京都 お台場,0,450,35.6205834,139.7805445
49,象山歩道,"110 台湾 Taipei City, Xinyi District, 象山歩道",0,390,25.0230627,121.5808505
48,国立海洋生物博物館,"No. 2, Houwan Road, Checheng Township, Pingtung County, 台湾 944",1700,660,22.0460173,120.6989058
47,阿里山国家森林遊楽区,"605 台湾 Chiayi County, Alishan Township, 2鄰17號",600,0,23.5112942,120.8036725
46,Ch'ing-shui Cliff,"Ch'ing-shui Cliff, Xiulin Township, Hualien County, 台湾 972",0,0,24.2188889,121.6930556
45,太魯閣,"972 台湾 Hualien County, Xiulin Township, 富世291號",0,0,24.1938752,121.4907536
44,台北101展望台,"110 台湾 Taipei City, Xinyi District, Section 5, Xinyi Road, 7號89樓/110樓",2200,180,25.0339639,121.5644722
43,中目黒公園,〒153-0061 東京都目黒区中目黒２丁目３−１４,0,210,35.6408241,139.7050469
42,大本山 増上寺,〒105-0011 東京都港区芝公園４丁目７−３５,0,210,35.6574236,139.7482079
41,東京タワー,〒105-0011 東京都港区芝公園４丁目２−８,1200,225,35.6585805,139.7454329
40,お台場海浜公園,〒135-0091 東京都港区台場１丁目４,0,360,35.6300488,139.7756912
38,代々木公園,〒151-0052 東京都渋谷区代々木神園町２−１,0,300,35.6715869,139.6967028
37,浅草寺,〒111-0032 東京都台東区浅草２丁目３−１,0,360,35.7147651,139.7966553
